Id	Description	Map id	Map name	Symbol	Abbreviation	Synonyms	References	Name	Type	Complex id	Complex name	Compartment/Pathway id	Compartment/Pathway name	Charge	Full name	Formula	Former symbols	Linked submap id	Element external id	Plasma.Membrane
1496299		16167	CFTR_network_edit	ADCY1		AC1	"ENTREZ:107,ENSEMBL:ENSG00000164742,HGNC_SYMBOL:ADCY1,REFSEQ:NM_021116,UNIPROT:Q08828,HGNC:232"	ADCY1	Protein			1496310	molecular overview		adenylate cyclase 1		DFNB44		n112	TRUE
1496200		16167	CFTR_network_edit			"CALCIUM ION,Ca(2+),Ca(2+),Ca2+,calcium, doubly charged positive ion"	CHEBI:CHEBI:29108	Ca2+	Simple molecule			1496310	molecular overview		calcium(2+)				n113	TRUE
1496134		16167	CFTR_network_edit			"3',5'-Cyclic AMP,ADENOSINE-3',5'-CYCLIC-MONOPHOSPHATE,Adenosine 3',5'-cyclic phosphate,Adenosine 3',5'-phosphate,Cyclic AMP,Cyclic adenylic acid,adenosine 3',5'-cyclic monophosphate,cAMP"	CHEBI:CHEBI:17489	cAMP	Simple molecule			1496310	molecular overview		"3',5'-cyclic AMP"				n114	TRUE
1496016		16167	CFTR_network_edit	FLNA		ABP-280	"UNIPROT:P21333,ENSEMBL:ENSG00000196924,ENTREZ:2316,REFSEQ:NM_001110556,HGNC:3754,HGNC_SYMBOL:FLNA"	FLNA	Protein			1496310	molecular overview		filamin A		"FLN,FLN1,OPD1,OPD2"		n115	TRUE
1496241		16167	CFTR_network_edit	PDE3A		CGI-PDE	"UNIPROT:Q14432,HGNC:8778,REFSEQ:NM_000921,HGNC_SYMBOL:PDE3A,ENTREZ:5139,ENSEMBL:ENSG00000172572"	PDE3A	Protein			1496310	molecular overview		phosphodiesterase 3A				n116	TRUE
1496201		16167	CFTR_network_edit	ANO1		"DOG1,FLJ10261,TAOS2"	"ENSEMBL:ENSG00000131620,HGNC:21625,ENTREZ:55107,REFSEQ:NM_018043,UNIPROT:Q5XXA6,HGNC_SYMBOL:ANO1"	ANO1	Protein			1496310	molecular overview		anoctamin 1		"ORAOV2,TMEM16A"		n117	TRUE
1496278		16167	CFTR_network_edit			"CHLORIDE ION,Chloride,Chloride,Chloride ion,Chloride(1-),Chlorine anion,Cl(-),Cl-,chloride"	CHEBI:CHEBI:17996	Cl-	Simple molecule			1496310	molecular overview		chloride				n118	TRUE
1496127		16167	CFTR_network_edit			"CHLORIDE ION,Chloride,Chloride,Chloride ion,Chloride(1-),Chlorine anion,Cl(-),Cl-,chloride"	CHEBI:CHEBI:17996	Cl-	Simple molecule			1496310	molecular overview		chloride				n119	TRUE
1496128		16167	CFTR_network_edit	EDEM1		"EDEM,KIAA0212"	"REFSEQ:NM_014674,ENSEMBL:ENSG00000134109,UNIPROT:Q92611,ENTREZ:9695,HGNC_SYMBOL:EDEM1,HGNC:18967"	EDEM1	Protein			1496310	molecular overview		ER degradation enhancing alpha-mannosidase like protein 1				n12	FALSE
1496233		16167	CFTR_network_edit	PRKCE			"UNIPROT:Q02156,HGNC:9401,REFSEQ:NM_005400,ENTREZ:5581,ENSEMBL:ENSG00000171132,HGNC_SYMBOL:PRKCE"	PRKCE	Protein			1496310	molecular overview		protein kinase C epsilon				n120	TRUE
1496139		16167	CFTR_network_edit	PRKCE			"UNIPROT:Q02156,HGNC:9401,REFSEQ:NM_005400,ENTREZ:5581,ENSEMBL:ENSG00000171132,HGNC_SYMBOL:PRKCE"	PRKCE	Protein			1496310	molecular overview		protein kinase C epsilon				n121	TRUE
1496213		16167	CFTR_network_edit	GOPC		"CAL,FIG,GOPC1,PIST,dJ94G16.2"	"ENTREZ:57120,HGNC:17643,UNIPROT:Q9HD26,ENSEMBL:ENSG00000047932,REFSEQ:NM_020399,HGNC_SYMBOL:GOPC"	GOPC	Protein			1496310	molecular overview		golgi associated PDZ and coiled-coil motif containing				n122	TRUE
1496171		16167	CFTR_network_edit	MARCHF2		"HSPC240,MARCH-II,RNF172"	"HGNC_SYMBOL:MARCHF2,ENTREZ:51257,HGNC:28038,REFSEQ:NM_016496,UNIPROT:Q9P0N8,ENSEMBL:ENSG00000099785"	MARCHF2	Protein			1496310	molecular overview		membrane associated ring-CH-type finger 2		Mar-02		n123	TRUE
1496003		16167	CFTR_network_edit	MAST2		"KIAA0807,MAST205"	"UNIPROT:Q6P0Q8,REFSEQ:NM_015112,HGNC:19035,ENTREZ:23139,HGNC_SYMBOL:MAST2,ENSEMBL:ENSG00000086015"	MAST2	Protein			1496310	molecular overview		microtubule associated serine/threonine kinase 2				n124	TRUE
1495974		16167	CFTR_network_edit	STX6			"HGNC_SYMBOL:STX6,REFSEQ:NM_005819,ENTREZ:10228,HGNC:11441,ENSEMBL:ENSG00000135823,UNIPROT:O43752"	STX6	Protein			1496310	molecular overview		syntaxin 6				n125	TRUE
1496300		16167	CFTR_network_edit	DNM2		"CMT2M,CMTDI1,CMTDIB,DI-CMTB,DYN2,DYNII"	"ENSEMBL:ENSG00000079805,HGNC:2974,REFSEQ:NM_004945,HGNC_SYMBOL:DNM2,UNIPROT:P50570,ENTREZ:1785"	DNM2	Protein			1496310	molecular overview		dynamin 2				n127	TRUE
1496094		16167	CFTR_network_edit	DNM1			"HGNC:2972,ENTREZ:1759,UNIPROT:Q05193,REFSEQ:NM_004408,HGNC_SYMBOL:DNM1,ENSEMBL:ENSG00000106976"	DNM1	Protein			1496310	molecular overview		dynamin 1		DNM		n128	TRUE
1496298		16167	CFTR_network_edit	DAB2		DOC-2	"REFSEQ:NM_001343,ENTREZ:1601,UNIPROT:P98082,HGNC:2662,ENSEMBL:ENSG00000153071,HGNC_SYMBOL:DAB2"	DAB2	Protein			1496310	molecular overview		DAB adaptor protein 2				n129	TRUE
1496207		16167	CFTR_network_edit	UGGT1		HUGT1	"HGNC:15663,REFSEQ:NM_020120,ENTREZ:56886,HGNC_SYMBOL:UGGT1,UNIPROT:Q9NYU2,ENSEMBL:ENSG00000136731"	UGGT1	Protein			1496310	molecular overview		UDP-glucose glycoprotein glucosyltransferase 1		UGCGL1		n13	FALSE
1496122		16167	CFTR_network_edit	EPN2		"EHB21,KIAA1065"	"ENTREZ:22905,HGNC:18639,REFSEQ:NM_014964,ENSEMBL:ENSG00000072134,UNIPROT:O95208,HGNC_SYMBOL:EPN2"	EPN2	Protein			1496310	molecular overview		epsin 2				n130	TRUE
1495968		16167	CFTR_network_edit					F-ACTIN - MYO6	Complex			1496310	molecular overview						n131	TRUE
1496293		16167	CFTR_network_edit	SNX9		"SDP1,SH3PX1,SH3PXD3A"	"UNIPROT:Q9Y5X1,ENSEMBL:ENSG00000130340,HGNC:14973,REFSEQ:NM_016224,HGNC_SYMBOL:SNX9,ENTREZ:51429"	SNX9	Protein			1496310	molecular overview		sorting nexin 9				n132	TRUE
1495981		16167	CFTR_network_edit					CLATHRIN TRISKELION	Complex			1496310	molecular overview						n133	TRUE
1496107		16167	CFTR_network_edit	HIP1R		"FLJ14000,HIP12,HIP3,ILWEQ,KIAA0655"	"ENSEMBL:ENSG00000130787,ENTREZ:9026,UNIPROT:O75146,HGNC:18415,REFSEQ:NM_003959,HGNC_SYMBOL:HIP1R"	HIP1R	Protein			1496310	molecular overview		huntingtin interacting protein 1 related				n134	TRUE
1496098		16167	CFTR_network_edit					"PI(4,5)P2"	Simple molecule			1496310	molecular overview						n135	TRUE
1496204		16167	CFTR_network_edit	LMTK2		"AATYK2,BREK,KIAA1079,KPI-2,KPI2,LMR2,PPP1R100,cprk"	"UNIPROT:Q8IWU2,ENTREZ:22853,ENSEMBL:ENSG00000164715,HGNC_SYMBOL:LMTK2,REFSEQ:NM_014916,HGNC:17880"	LMTK2	Protein			1496310	molecular overview		lemur tyrosine kinase 2				n136	TRUE
1496209		16167	CFTR_network_edit	STX1A		"HPC-1,p35-1"	"ENTREZ:6804,HGNC:11433,HGNC_SYMBOL:STX1A,ENSEMBL:ENSG00000106089,UNIPROT:Q16623,REFSEQ:NM_004603"	STX1A	Protein			1496310	molecular overview		syntaxin 1A		STX1		n137	TRUE
1496079		16167	CFTR_network_edit	SNAP23		"HsT17016,SNAP23A,SNAP23B"	"ENTREZ:8773,HGNC_SYMBOL:SNAP23,REFSEQ:NM_003825,HGNC:11131,UNIPROT:O00161,ENSEMBL:ENSG00000092531"	SNAP23	Protein			1496310	molecular overview		synaptosome associated protein 23				n138	TRUE
1495967		16167	CFTR_network_edit	PICALM		"CALM,CLTH"	"ENSEMBL:ENSG00000073921,UNIPROT:Q13492,HGNC:15514,REFSEQ:NM_007166,ENTREZ:8301,HGNC_SYMBOL:PICALM"	PICALM	Protein			1496310	molecular overview		phosphatidylinositol binding clathrin assembly protein				n139	TRUE
1496291		16167	CFTR_network_edit	CFTR		"ABC35,CFTR/MRP,MRP7,TNR-CFTR,dJ760C5.1"	"UNIPROT:P13569,ENTREZ:1080,REFSEQ:NM_000492,HGNC:1884,HGNC_SYMBOL:CFTR,ENSEMBL:ENSG00000001626"	CFTR	Protein			1496310	molecular overview		CF transmembrane conductance regulator		"ABCC7,CF"		n14	TRUE
1496249		16167	CFTR_network_edit	PRKCE			"UNIPROT:Q02156,HGNC:9401,REFSEQ:NM_005400,ENTREZ:5581,ENSEMBL:ENSG00000171132,HGNC_SYMBOL:PRKCE"	PRKCE	Protein			1496310	molecular overview		protein kinase C epsilon				n140	TRUE
1496061		16167	CFTR_network_edit	EZR			"REFSEQ:NM_003379,HGNC_SYMBOL:EZR,ENTREZ:7430,UNIPROT:P15311,ENSEMBL:ENSG00000092820,HGNC:12691"	EZR	Protein			1496310	molecular overview		ezrin		VIL2		n141	TRUE
1496120		16167	CFTR_network_edit	SLC9A3R1		"EBP50,NHERF,NHERF1"	"HGNC_SYMBOL:SLC9A3R1,UNIPROT:O14745,REFSEQ:NM_004252,HGNC:11075,ENTREZ:9368,ENSEMBL:ENSG00000109062"	SLC9A3R1	Protein			1496310	molecular overview		SLC9A3 regulator 1				n142	TRUE
1496226		16167	CFTR_network_edit	PRKACA		PKACa	"REFSEQ:NM_002730,HGNC:9380,UNIPROT:P17612,ENSEMBL:ENSG00000072062,HGNC_SYMBOL:PRKACA,ENTREZ:5566"	PRKACA	Protein			1496310	molecular overview		protein kinase cAMP-activated catalytic subunit alpha				n143	TRUE
1496070		16167	CFTR_network_edit			"CHLORIDE ION,Chloride,Chloride,Chloride ion,Chloride(1-),Chlorine anion,Cl(-),Cl-,chloride"	CHEBI:CHEBI:17996	Cl-	Simple molecule			1496310	molecular overview		chloride				n144	TRUE
1496119		16167	CFTR_network_edit	PLCB3			"HGNC_SYMBOL:PLCB3,ENSEMBL:ENSG00000149782,UNIPROT:Q01970,REFSEQ:NM_000932,ENTREZ:5331,HGNC:9056"	PLCB3	Protein			1496310	molecular overview		phospholipase C beta 3				n146	TRUE
1496183		16167	CFTR_network_edit	SLC9A3R2		"E3KARP,NHERF-2,SIP-1,TKA-1"	"REFSEQ:NM_001130012,ENSEMBL:ENSG00000065054,UNIPROT:Q15599,ENTREZ:9351,HGNC_SYMBOL:SLC9A3R2,HGNC:11076"	SLC9A3R2	Protein			1496310	molecular overview		SLC9A3 regulator 2				n147	TRUE
1496104		16167	CFTR_network_edit	RACK1		"Gnb2-rs1,H12.3"	"HGNC:4399,ENSEMBL:ENSG00000204628,UNIPROT:P63244,REFSEQ:NM_006098,HGNC_SYMBOL:RACK1,ENTREZ:10399"	RACK1	Protein			1496310	molecular overview		receptor for activated C kinase 1		GNB2L1		n148	TRUE
1496174		16167	CFTR_network_edit	LPAR2		"EDG-4,LPA2"	"REFSEQ:NM_004720,ENSEMBL:ENSG00000064547,HGNC:3168,HGNC_SYMBOL:LPAR2,ENTREZ:9170,UNIPROT:Q9HBW0"	LPAR2	Protein			1496310	molecular overview		lysophosphatidic acid receptor 2		EDG4		n149	TRUE
1496156		16167	CFTR_network_edit	CFTR		"ABC35,CFTR/MRP,MRP7,TNR-CFTR,dJ760C5.1"	"UNIPROT:P13569,ENTREZ:1080,REFSEQ:NM_000492,HGNC:1884,HGNC_SYMBOL:CFTR,ENSEMBL:ENSG00000001626"	CFTR	Protein			1496310	molecular overview		CF transmembrane conductance regulator		"ABCC7,CF"		n15	TRUE
1496159		16167	CFTR_network_edit					agonist	Protein			1496310	molecular overview						n150	TRUE
1496140		16167	CFTR_network_edit	STX1A		"HPC-1,p35-1"	"ENTREZ:6804,HGNC:11433,HGNC_SYMBOL:STX1A,ENSEMBL:ENSG00000106089,UNIPROT:Q16623,REFSEQ:NM_004603"	STX1A	Protein			1496310	molecular overview		syntaxin 1A		STX1		n151	TRUE
1496280		16167	CFTR_network_edit	SNAP23		"HsT17016,SNAP23A,SNAP23B"	"ENTREZ:8773,HGNC_SYMBOL:SNAP23,REFSEQ:NM_003825,HGNC:11131,UNIPROT:O00161,ENSEMBL:ENSG00000092531"	SNAP23	Protein			1496310	molecular overview		synaptosome associated protein 23				n152	TRUE
1496181		16167	CFTR_network_edit			"3',5'-Cyclic AMP,ADENOSINE-3',5'-CYCLIC-MONOPHOSPHATE,Adenosine 3',5'-cyclic phosphate,Adenosine 3',5'-phosphate,Cyclic AMP,Cyclic adenylic acid,adenosine 3',5'-cyclic monophosphate,cAMP"	CHEBI:CHEBI:17489	cAMP	Simple molecule			1496310	molecular overview		"3',5'-cyclic AMP"				n154	TRUE
1495998		16167	CFTR_network_edit	CFTR		"ABC35,CFTR/MRP,MRP7,TNR-CFTR,dJ760C5.1"	"UNIPROT:P13569,ENTREZ:1080,REFSEQ:NM_000492,HGNC:1884,HGNC_SYMBOL:CFTR,ENSEMBL:ENSG00000001626"	CFTR	Protein			1496310	molecular overview		CF transmembrane conductance regulator		"ABCC7,CF"		n156	TRUE
1496121		16167	CFTR_network_edit	SLC9A3			"ENSEMBL:ENSG00000066230,UNIPROT:P48764,ENTREZ:6550,REFSEQ:NM_004174,HGNC_SYMBOL:SLC9A3,HGNC:11073"	SLC9A3	Protein			1496310	molecular overview		solute carrier family 9 member A3		NHE3		n157	TRUE
1496294		16167	CFTR_network_edit	SLC26A3			"REFSEQ:NM_000111,ENTREZ:1811,UNIPROT:P40879,HGNC_SYMBOL:SLC26A3,HGNC:3018,ENSEMBL:ENSG00000091138"	SLC26A3	Protein			1496310	molecular overview		solute carrier family 26 member 3		"CLD,DRA"		n158	TRUE
1496124		16167	CFTR_network_edit	CFTR		"ABC35,CFTR/MRP,MRP7,TNR-CFTR,dJ760C5.1"	"UNIPROT:P13569,ENTREZ:1080,REFSEQ:NM_000492,HGNC:1884,HGNC_SYMBOL:CFTR,ENSEMBL:ENSG00000001626"	CFTR	Protein			1496310	molecular overview		CF transmembrane conductance regulator		"ABCC7,CF"		n159	TRUE
1496281		16167	CFTR_network_edit	CFTR		"ABC35,CFTR/MRP,MRP7,TNR-CFTR,dJ760C5.1"	"UNIPROT:P13569,ENTREZ:1080,REFSEQ:NM_000492,HGNC:1884,HGNC_SYMBOL:CFTR,ENSEMBL:ENSG00000001626"	CFTR	Protein			1496310	molecular overview		CF transmembrane conductance regulator		"ABCC7,CF"		n16	TRUE
1496178		16167	CFTR_network_edit	PDZK1		"NHERF3,PDZD1"	"HGNC:8821,ENTREZ:5174,PUBMED:25762723,PUBMED:31481727,HGNC_SYMBOL:PDZK1,UNIPROT:Q5T2W1,PUBMED:11051556,REFSEQ:NM_002614,ENSEMBL:ENSG00000174827,PUBMED:15766278"	PDZK1	Protein			1496310	molecular overview		PDZ domain containing 1				n160	TRUE
1496160		16167	CFTR_network_edit	PRKACA		PKACa	"REFSEQ:NM_002730,HGNC:9380,UNIPROT:P17612,ENSEMBL:ENSG00000072062,HGNC_SYMBOL:PRKACA,ENTREZ:5566"	PRKACA	Protein			1496310	molecular overview		protein kinase cAMP-activated catalytic subunit alpha				n161	TRUE
1496176		16167	CFTR_network_edit	SLC9A3R1		"EBP50,NHERF,NHERF1"	"HGNC_SYMBOL:SLC9A3R1,UNIPROT:O14745,REFSEQ:NM_004252,HGNC:11075,ENTREZ:9368,ENSEMBL:ENSG00000109062"	SLC9A3R1	Protein			1496310	molecular overview		SLC9A3 regulator 1				n162	TRUE
1496091		16167	CFTR_network_edit			"3',5'-Cyclic AMP,ADENOSINE-3',5'-CYCLIC-MONOPHOSPHATE,Adenosine 3',5'-cyclic phosphate,Adenosine 3',5'-phosphate,Cyclic AMP,Cyclic adenylic acid,adenosine 3',5'-cyclic monophosphate,cAMP"	CHEBI:CHEBI:17489	cAMP	Simple molecule			1496310	molecular overview		"3',5'-cyclic AMP"				n163	TRUE
1496103		16167	CFTR_network_edit					Na+/H+	Simple molecule			1496310	molecular overview						n164	TRUE
1496090		16167	CFTR_network_edit					Na+/H+	Simple molecule			1496310	molecular overview						n165	TRUE
1496168		16167	CFTR_network_edit			"CHLORIDE ION,Chloride,Chloride,Chloride ion,Chloride(1-),Chlorine anion,Cl(-),Cl-,chloride"	CHEBI:CHEBI:17996	Cl-	Simple molecule			1496310	molecular overview		chloride				n166	TRUE
1496236		16167	CFTR_network_edit			"CHLORIDE ION,Chloride,Chloride,Chloride ion,Chloride(1-),Chlorine anion,Cl(-),Cl-,chloride"	CHEBI:CHEBI:17996	Cl-	Simple molecule			1496310	molecular overview		chloride				n167	TRUE
1496225		16167	CFTR_network_edit			"CHLORIDE ION,Chloride,Chloride,Chloride ion,Chloride(1-),Chlorine anion,Cl(-),Cl-,chloride"	CHEBI:CHEBI:17996	Cl-	Simple molecule			1496310	molecular overview		chloride				n168	TRUE
1496239		16167	CFTR_network_edit	EZR			"REFSEQ:NM_003379,HGNC_SYMBOL:EZR,ENTREZ:7430,UNIPROT:P15311,ENSEMBL:ENSG00000092820,HGNC:12691"	EZR	Protein			1496310	molecular overview		ezrin		VIL2		n169	TRUE
1496248		16167	CFTR_network_edit	BAG1			"HGNC_SYMBOL:BAG1,REFSEQ:NM_004323,ENTREZ:573,UNIPROT:Q99933,HGNC:937,ENSEMBL:ENSG00000107262"	BAG1	Protein			1496310	molecular overview		BAG cochaperone 1				n17	FALSE
1496158		16167	CFTR_network_edit	SLC26A9			"ENTREZ:115019,UNIPROT:Q7LBE3,HGNC:14469,HGNC_SYMBOL:SLC26A9,ENSEMBL:ENSG00000174502,REFSEQ:NM_052934"	SLC26A9	Protein			1496310	molecular overview		solute carrier family 26 member 9				n170	TRUE
1496001		16167	CFTR_network_edit	SLC26A6		DKFZp586E1422	"HGNC:14472,ENSEMBL:ENSG00000225697,UNIPROT:Q9BXS9,ENTREZ:65010,HGNC_SYMBOL:SLC26A6,REFSEQ:NM_022911"	SLC26A6	Protein			1496310	molecular overview		solute carrier family 26 member 6				n171	TRUE
1496307		16167	CFTR_network_edit			"CHLORIDE ION,Chloride,Chloride,Chloride ion,Chloride(1-),Chlorine anion,Cl(-),Cl-,chloride"	CHEBI:CHEBI:17996	Cl-	Simple molecule			1496310	molecular overview		chloride				n172	TRUE
1496266		16167	CFTR_network_edit			"CHLORIDE ION,Chloride,Chloride,Chloride ion,Chloride(1-),Chlorine anion,Cl(-),Cl-,chloride"	CHEBI:CHEBI:17996	Cl-	Simple molecule			1496310	molecular overview		chloride				n173	TRUE
1496190		16167	CFTR_network_edit			"CHLORIDE ION,Chloride,Chloride,Chloride ion,Chloride(1-),Chlorine anion,Cl(-),Cl-,chloride"	CHEBI:CHEBI:17996	Cl-	Simple molecule			1496310	molecular overview		chloride				n174	TRUE
1496087		16167	CFTR_network_edit			"CHLORIDE ION,Chloride,Chloride,Chloride ion,Chloride(1-),Chlorine anion,Cl(-),Cl-,chloride"	CHEBI:CHEBI:17996	Cl-	Simple molecule			1496310	molecular overview		chloride				n175	TRUE
1496279		16167	CFTR_network_edit	ABCC4		"EST170205,MOAT-B,MOATB,MRP4"	"ENSEMBL:ENSG00000125257,UNIPROT:O15439,HGNC_SYMBOL:ABCC4,HGNC:55,ENTREZ:10257,REFSEQ:NM_005845"	ABCC4	Protein			1496310	molecular overview		ATP binding cassette subfamily C member 4				n176	TRUE
1496263		16167	CFTR_network_edit			"3',5'-Cyclic AMP,ADENOSINE-3',5'-CYCLIC-MONOPHOSPHATE,Adenosine 3',5'-cyclic phosphate,Adenosine 3',5'-phosphate,Cyclic AMP,Cyclic adenylic acid,adenosine 3',5'-cyclic monophosphate,cAMP"	CHEBI:CHEBI:17489	cAMP	Simple molecule			1496310	molecular overview		"3',5'-cyclic AMP"				n177	TRUE
1496297		16167	CFTR_network_edit			"3',5'-Cyclic AMP,ADENOSINE-3',5'-CYCLIC-MONOPHOSPHATE,Adenosine 3',5'-cyclic phosphate,Adenosine 3',5'-phosphate,Cyclic AMP,Cyclic adenylic acid,adenosine 3',5'-cyclic monophosphate,cAMP"	CHEBI:CHEBI:17489	cAMP	Simple molecule			1496310	molecular overview		"3',5'-cyclic AMP"				n178	TRUE
1496210		16167	CFTR_network_edit	DNM2		"CMT2M,CMTDI1,CMTDIB,DI-CMTB,DYN2,DYNII"	"ENSEMBL:ENSG00000079805,HGNC:2974,REFSEQ:NM_004945,HGNC_SYMBOL:DNM2,UNIPROT:P50570,ENTREZ:1785"	DNM2	Protein			1496310	molecular overview		dynamin 2				n179	TRUE
1496211		16167	CFTR_network_edit	CFTR		"ABC35,CFTR/MRP,MRP7,TNR-CFTR,dJ760C5.1"	"UNIPROT:P13569,ENTREZ:1080,REFSEQ:NM_000492,HGNC:1884,HGNC_SYMBOL:CFTR,ENSEMBL:ENSG00000001626"	CFTR	Protein			1496310	molecular overview		CF transmembrane conductance regulator		"ABCC7,CF"		n18	TRUE
1496173		16167	CFTR_network_edit	FLOT2		"ECS-1,ECS1,ESA,ESA1"	"HGNC_SYMBOL:FLOT2,ENSEMBL:ENSG00000132589,ENTREZ:2319,REFSEQ:NM_004475,UNIPROT:Q14254,HGNC:3758"	FLOT2	Protein			1496310	molecular overview		flotillin 2		M17S1		n180	TRUE
1496186		16167	CFTR_network_edit					CAV1-CAV2	Complex			1496310	molecular overview						n181	TRUE
