Locus	Uniprot ID	Gene Symbol	Protein Length	Spectrum Count_HBE_1	Spectrum Count_HBE_2	Spectrum Count_HBE_3	Spectrum Count_CFBE_1	Spectrum Count_CFBE_2	Spectrum Count_CFBE_3	HBE_Spectrum Count_Sum	CFBE_Spectrum Count_sum	NSAF_HBE_1	NSAF_HBE_2	NSAF_HBE_3	NSAF_CFBE_1	NSAF_CFBE_2	NSAF_CFBE_3	HBE_NSAF_avg	CFBE_NSAF_avg	CFBE_NSAF_avg/HBE_NSAF_avg	log2(CFBE_NSAF_avg/HBE_NSAF_avg)	p_value
sp|P01023|A2MG_HUMAN	P01023	A2M	1474	20	7	14	7	20	8	41	35	3,86319E-05	1,25703E-05	2,65269E-05	1,33652E-05	4,0616E-05	1,30377E-05	0,000026	0,000022	0,86	-0,21	0,709694019
sp|Q9NRG9|AAAS_HUMAN	Q9NRG9	AAAS	546	12	19	23	15	13	23	54	51	6,25752E-05	9,21099E-05	0,00011765	7,73166E-05	7,12715E-05	0,000101192	0,000091	0,000083	0,92	-0,12	0,773845638
sp|Q86V21|AACS_HUMAN	Q86V21	AACS	672	19	22	15	16	17	21	56	54	8,05004E-05	8,6656E-05	6,23417E-05	6,70077E-05	7,5726E-05	7,50689E-05	0,000076	0,000073	0,95	-0,08	0,701663256
sp|Q2M2I8|AAK1_HUMAN	Q2M2I8	AAK1	961	13	10	10	13	17	21	33	51	3,85153E-05	2,75437E-05	2,90625E-05	3,8071E-05	5,2953E-05	5,24935E-05	0,000032	0,000048	1,51	0,59	0,052187534
sp|Q13685|AAMP_HUMAN	Q13685	AAMP	434	6	4	5	4	4	2	15	10	3,93618E-05	2,43958E-05	3,21763E-05	2,59385E-05	2,7589E-05	1,10701E-05	0,000032	0,000022	0,67	-0,57	0,235995393
sp|Q9Y312|AAR2_HUMAN	Q9Y312	AAR2	384	6	10	4	5	6	5	20	16	4,4487E-05	6,89309E-05	2,90928E-05	3,66448E-05	4,67719E-05	3,12787E-05	0,000048	0,000038	0,80	-0,31	0,570624475
sp|P49588|SYAC_HUMAN	P49588	AARS	968	100	204	138	148	129	154	442	431	0,000294129	0,000557828	0,000398162	0,000430289	0,000398914	0,000382169	0,000417	0,000404	0,97	-0,05	0,994501025
sp|Q5JTZ9|SYAM_HUMAN	Q5JTZ9	AARS2	985	9	15	7	14	17	12	31	43	2,60148E-05	4,03088E-05	1,98481E-05	4,00005E-05	5,16628E-05	2,92654E-05	0,000029	0,000040	1,40	0,49	0,249036758
sp|Q9NRN7|ADPPT_HUMAN	Q9NRN7	AASDHPPT	309	5	8	6	5	4	6	19	15	4,60707E-05	6,85294E-05	5,42312E-05	4,55392E-05	3,87495E-05	4,66447E-05	0,000056	0,000044	0,78	-0,37	0,131603021
sp|P80404|GABT_HUMAN	P80404	ABAT	500	4	7	4	7	9	8	15	24	2,27774E-05	3,70572E-05	2,23433E-05	3,94005E-05	5,38812E-05	3,84353E-05	0,000027	0,000044	1,60	0,68	0,069278478
sp|Q9NRK6|ABCBA_HUMAN	Q9NRK6	ABCB10	738	4	4	4	5	8	5	12	18	1,54318E-05	1,43466E-05	1,51377E-05	1,90672E-05	3,24488E-05	1,62751E-05	0,000015	0,000023	1,51	0,59	0,155431296
sp|P28288|ABCD3_HUMAN	P28288	ABCD3	659	13	13	10	19	33	28	36	80	5,61657E-05	5,22159E-05	4,2381E-05	8,11413E-05	0,000149897	0,000102066	0,000050	0,000111	2,21	1,14	0,017907785
sp|P61221|ABCE1_HUMAN	P61221	ABCE1	599	49	32	42	52	32	41	123	125	0,000232907	0,000141406	0,00019583	0,000244315	0,000159915	0,000164425	0,000190	0,000190	1,00	0,00	0,995044646
sp|Q8NE71|ABCF1_HUMAN	Q8NE71	ABCF1	845	46	43	41	58	63	68	130	189	0,000154994	0,000134697	0,000135514	0,000193172	0,000223177	0,000193313	0,000142	0,000203	1,43	0,52	0,005590774
sp|Q9UG63|ABCF2_HUMAN	Q9UG63	ABCF2	623	10	10	17	8	8	12	37	28	4,5701E-05	4,24871E-05	7,62109E-05	3,6139E-05	3,84386E-05	4,62704E-05	0,000055	0,000040	0,74	-0,44	0,233539586
sp|Q9NUQ8|ABCF3_HUMAN	Q9NUQ8	ABCF3	709	8	11	22	6	3	10	41	19	3,2126E-05	4,10669E-05	8,66628E-05	2,38166E-05	1,2666E-05	3,38816E-05	0,000053	0,000023	0,44	-1,18	0,124171205
sp|Q9NUJ1|ABHDA_HUMAN	Q9NUJ1	ABHD10	306	5	10	19	8	9	13	34	30	4,65224E-05	8,65015E-05	0,000173416	7,35771E-05	8,80413E-05	0,000102054	0,000102	0,000088	0,86	-0,22	0,965452655
sp|Q8NFV4|ABHDB_HUMAN	Q8NFV4	ABHD11	315	18	22	22	14	13	19	62	46	0,000162695	0,000184866	0,00019506	0,000125081	0,000123537	0,000144895	0,000181	0,000131	0,73	-0,46	0,012421135
sp|Q8N2K0|ABD12_HUMAN	Q8N2K0	ABHD12	398	19	14	19	18	11	25	52	54	0,00013592	9,31087E-05	0,00013333	0,000127281	8,27322E-05	0,000150892	0,000121	0,000120	1,00	-0,01	0,930915426
sp|Q8IZP0|ABI1_HUMAN	Q8IZP0	ABI1	508	6	12	15	16	19	11	33	46	3,3628E-05	6,25263E-05	8,24677E-05	8,86401E-05	0,000111958	5,20162E-05	0,000060	0,000084	1,41	0,50	0,356258683
sp|Q9NYB9|ABI2_HUMAN	Q9NYB9	ABI2	513	3	3	6	2	4	5	12	11	1,66501E-05	1,54792E-05	3,26656E-05	1,0972E-05	2,33404E-05	2,34133E-05	0,000022	0,000019	0,89	-0,17	0,760432288
sp|Q12979|ABR_HUMAN	Q12979	ABR	859	3	4	4	5	5	7	11	17	9,94355E-06	1,23257E-05	1,30054E-05	1,63814E-05	1,74238E-05	1,95756E-05	0,000012	0,000018	1,51	0,60	0,012644428
sp|Q9P1F3|ABRAL_HUMAN	Q9P1F3	ABRACL	81	6	8	3	4	12	9	17	25	0,000210902	0,000261427	0,000103441	0,000138979	0,000443467	0,000266912	0,000192	0,000283	1,48	0,56	0,464736751
sp|P09110|THIK_HUMAN	P09110	ACAA1	424	14	20	19	20	18	22	53	60	9,40104E-05	0,000124856	0,000125154	0,000132751	0,000127078	0,000124643	0,000115	0,000128	1,12	0,16	0,284425982
sp|P42765|THIM_HUMAN	P42765	ACAA2	397	18	8	17	19	20	28	43	67	0,000129091	5,3339E-05	0,000119596	0,000134691	0,000150801	0,000169425	0,000101	0,000152	1,51	0,59	0,176041431
sp|Q13085|ACACA_HUMAN	Q13085	ACACA	2346	21	29	21	6	8	5	71	19	2,54862E-05	3,27201E-05	2,50004E-05	7,19776E-06	1,02077E-05	5,11979E-06	0,000028	0,000008	0,27	-1,89	0,003523331
sp|Q9H845|ACAD9_HUMAN	Q9H845	ACAD9	621	45	48	50	31	47	34	143	112	0,000206317	0,000204595	0,000224872	0,00014049	0,000226554	0,000131522	0,000212	0,000166	0,78	-0,35	0,191829155
sp|P11310|ACADM_HUMAN	P11310	ACADM	421	11	7	10	3	4	3	28	10	7,43916E-05	4,4011E-05	6,63398E-05	2,00546E-05	2,84409E-05	1,71178E-05	0,000062	0,000022	0,36	-1,49	0,009134656
sp|P49748|ACADV_HUMAN	P49748	ACADVL	655	54	49	45	79	93	81	148	253	0,000234729	0,000198016	0,000191879	0,000339437	0,000425017	0,000297066	0,000208	0,000354	1,70	0,77	0,012697183
sp|Q15057|ACAP2_HUMAN	Q15057	ACAP2	778	2	5	4	3	6	3	11	12	7,31921E-06	1,70112E-05	1,43594E-05	1,08521E-05	2,30854E-05	9,263E-06	0,000013	0,000014	1,12	0,16	0,831012703
sp|P24752|THIL_HUMAN	P24752	ACAT1	427	17	18	17	12	20	16	52	48	0,000113353	0,000111581	0,000111193	7,9091E-05	0,000140206	9,00123E-05	0,000112	0,000103	0,92	-0,12	0,545950535
sp|Q9BWD1|THIC_HUMAN	Q9BWD1	ACAT2	397	62	65	60	41	40	51	187	132	0,000444646	0,000433379	0,000422102	0,000290648	0,000301602	0,000308595	0,000433	0,000300	0,69	-0,53	9,06615E-05
sp|Q9H3P7|GCP60_HUMAN	Q9H3P7	ACBD3	528	20	25	18	16	32	34	63	82	0,000107847	0,000125329	9,52127E-05	8,52825E-05	0,000181418	0,000154687	0,000109	0,000140	1,28	0,36	0,44278793
sp|Q9UKV3|ACINU_HUMAN	Q9UKV3	ACIN1	1341	11	12	10	9	10	12	33	31	2,33549E-05	2,36863E-05	2,0827E-05	1,88881E-05	2,23222E-05	2,14962E-05	0,000023	0,000021	0,92	-0,11	0,285558062
sp|P53396|ACLY_HUMAN	P53396	ACLY	1101	48	53	58	71	67	100	159	238	0,000124127	0,000127419	0,000147129	0,000181487	0,00018216	0,000218184	0,000133	0,000194	1,46	0,55	0,009432484
sp|P21399|ACOC_HUMAN	P21399	ACO1	889	32	30	37	58	85	86	99	229	0,000102485	8,93233E-05	0,00011624	0,000183612	0,000286208	0,000232384	0,000103	0,000234	2,28	1,19	0,005484071
sp|Q99798|ACON_HUMAN	Q99798	ACO2	780	39	46	56	31	46	51	141	128	0,000142359	0,000156102	0,000200516	0,000111851	0,000176534	0,000157067	0,000166	0,000148	0,89	-0,16	0,518654794
sp|P49753|ACOT2_HUMAN	P49753	ACOT2	483	14	7	13	7	7	15	34	29	8,25267E-05	3,83615E-05	7,51714E-05	4,07873E-05	4,33826E-05	7,46026E-05	0,000065	0,000053	0,81	-0,30	0,558587766
sp|O00154|BACH_HUMAN	O00154	ACOT7	380	24	10	16	9	18	15	50	42	0,000179821	6,96565E-05	0,000117596	6,6655E-05	0,000141793	9,48238E-05	0,000122	0,000101	0,83	-0,28	0,661075174
sp|O14734|ACOT8_HUMAN	O14734	ACOT8	319	8	8	5	10	9	10	21	29	7,14024E-05	6,63811E-05	4,3776E-05	8,82233E-05	8,44534E-05	7,53042E-05	0,000061	0,000083	1,37	0,45	0,10620579
sp|Q9Y305|ACOT9_HUMAN	Q9Y305	ACOT9	439	12	12	21	4	3	3	45	10	7,7827E-05	7,23539E-05	0,000133601	2,5643E-05	2,04561E-05	1,6416E-05	0,000095	0,000021	0,22	-2,18	0,003038814
sp|Q15067|ACOX1_HUMAN	Q15067	ACOX1	660	20	23	20	42	53	46	63	141	8,62779E-05	9,22421E-05	8,46336E-05	0,000179093	0,000240379	0,000167426	0,000088	0,000196	2,23	1,16	0,002280399
sp|P24666|PPAC_HUMAN	P24666	ACP1	158	15	12	13	12	24	19	40	55	0,000270301	0,000201034	0,000229796	0,000213746	0,000454694	0,000288873	0,000234	0,000319	1,37	0,45	0,315384869
sp|Q96CM8|ACSF2_HUMAN	Q96CM8	ACSF2	615	22	33	27	9	29	16	82	54	0,00010185	0,000142031	0,000122615	4,11852E-05	0,000141152	6,24964E-05	0,000122	0,000082	0,67	-0,58	0,230774069
sp|P33121|ACSL1_HUMAN	P33121	ACSL1	698	9	20	18	22	34	24	47	80	3,67114E-05	7,58437E-05	7,20234E-05	8,87036E-05	0,00014581	8,25973E-05	0,000062	0,000106	1,72	0,78	0,130980118
sp|O95573|ACSL3_HUMAN	O95573	ACSL3	720	52	60	56	60	31	73	168	164	0,000205629	0,000220579	0,000217226	0,000234527	0,000128883	0,000243557	0,000214	0,000202	0,94	-0,08	0,663638493
sp|O60488|ACSL4_HUMAN	O60488	ACSL4	711	13	18	22	14	14	22	53	50	5,2058E-05	6,70113E-05	8,64191E-05	5,54156E-05	5,89418E-05	7,43298E-05	0,000068	0,000063	0,92	-0,12	0,695462224
sp|Q9NR19|ACSA_HUMAN	Q9NR19	ACSS2	701	17	3	9	15	7	13	29	35	6,90469E-05	1,13279E-05	3,58576E-05	6,02209E-05	2,98913E-05	4,45487E-05	0,000039	0,000045	1,16	0,21	0,56955669
sp|P60709|ACTB_HUMAN	P60709	ACTB	375	2270	2498	2067	3259	3181	3067	6835	9507	0,017234874	0,017632191	0,015394504	0,02445834	0,025392036	0,019646825	0,016754	0,023166	1,38	0,47	0,024068269
sp|Q562R1|ACTBL_HUMAN	Q562R1	ACTBL2	376	55	31	58	43	55	116	144	214	0,000416474	0,000218232	0,000430821	0,000321851	0,000437865	0,000741105	0,000355	0,000500	1,41	0,49	0,376531831
sp|P68032|ACTC_HUMAN	P68032	ACTC1	377	118	184	77	182	105	148	379	435	0,000891157	0,001291878	0,000570435	0,001358639	0,000833706	0,00094304	0,000918	0,001045	1,14	0,19	0,591139355
sp|O96019|ACL6A_HUMAN	O96019	ACTL6A	429	27	29	23	18	24	25	79	67	0,000179193	0,000178931	0,000149736	0,000118083	0,000167463	0,000139989	0,000169	0,000142	0,84	-0,26	0,192302141
sp|P12814|ACTN1_HUMAN	P12814	ACTN1	892	368	471	370	368	365	477	1209	1210	0,001174618	0,001397659	0,001158493	0,001161066	0,001224879	0,001284587	0,001244	0,001224	0,98	-0,02	0,851246875
sp|O43707|ACTN4_HUMAN	O43707	ACTN4	911	397	346	297	392	540	573	1040	1505	0,001240754	0,001005317	0,000910531	0,001210993	0,001774355	0,001510936	0,001052	0,001499	1,42	0,51	0,071201213
sp|Q9NZ32|ARP10_HUMAN	Q9NZ32	ACTR10	417	13	18	23	15	12	18	54	45	8,87607E-05	0,000114257	0,000154045	0,000101235	8,61411E-05	0,000103692	0,000119	0,000097	0,82	-0,29	0,343137032
sp|P61163|ACTZ_HUMAN	P61163	ACTR1A	376	31	27	37	38	26	30	95	94	0,00023474	0,000190073	0,000274834	0,000284426	0,000206991	0,000191665	0,000233	0,000228	0,98	-0,03	0,871872117
sp|P42025|ACTY_HUMAN	P42025	ACTR1B	376	16	18	20	25	22	25	54	72	0,000121156	0,000126716	0,000148559	0,000187123	0,000175146	0,000159721	0,000132	0,000174	1,32	0,40	0,022863388
sp|P61160|ARP2_HUMAN	P61160	ACTR2	394	155	119	87	133	46	89	361	268	0,00112008	0,000799458	0,000616708	0,000950012	0,000349484	0,00054263	0,000845	0,000614	0,73	-0,46	0,330044521
sp|P61158|ARP3_HUMAN	P61158	ACTR3	418	44	46	49	36	132	64	139	232	0,000299702	0,000291291	0,000327398	0,000242382	0,000945285	0,000367802	0,000306	0,000518	1,69	0,76	0,422857805
sp|Q03154|ACY1_HUMAN	Q03154	ACY1	408	14	3	9	10	10	12	26	32	9,7697E-05	1,94628E-05	6,16082E-05	6,89785E-05	7,33677E-05	7,06531E-05	0,000060	0,000071	1,19	0,25	0,481740114
sp|O14672|ADA10_HUMAN	O14672	ADAM10	748	14	8	9	11	12	15	31	38	5,32893E-05	2,83096E-05	3,36045E-05	4,13871E-05	4,80225E-05	4,81725E-05	0,000038	0,000046	1,19	0,26	0,339070872
sp|Q13443|ADAM9_HUMAN	Q13443	ADAM9	819	5	8	7	16	6	9	20	31	1,7382E-05	2,58554E-05	2,3871E-05	5,49807E-05	2,19297E-05	2,63978E-05	0,000022	0,000034	1,54	0,62	0,301339675
sp|Q6UY14|ATL4_HUMAN	Q6UY14	ADAMTSL4	1074	2	2	4	6	6	8	8	20	5,30199E-06	4,92914E-06	1,04019E-05	1,57225E-05	1,67229E-05	1,78935E-05	0,000007	0,000017	2,44	1,29	0,016827598
sp|O75689|ADAP1_HUMAN	O75689	ADAP1	374	5	4	3	13	6	15	12	34	3,80638E-05	2,83096E-05	2,2403E-05	9,78241E-05	4,80225E-05	9,63451E-05	0,000030	0,000081	2,73	1,45	0,025232879
sp|P55265|DSRAD_HUMAN	P55265	ADAR	1226	29	25	25	32	25	38	79	95	6,73474E-05	5,39752E-05	5,69516E-05	7,3457E-05	6,104E-05	7,44566E-05	0,000059	0,000070	1,17	0,23	0,160089186
sp|P35611|ADDA_HUMAN	P35611	ADD1	737	11	6	21	10	9	23	38	42	4,24951E-05	2,15491E-05	7,95808E-05	3,81862E-05	3,65544E-05	7,4967E-05	0,000048	0,000050	1,04	0,06	0,798951406
sp|P11766|ADHX_HUMAN	P11766	ADH5	374	26	33	47	42	34	48	106	124	0,000197932	0,000233554	0,00035098	0,000316047	0,000272128	0,000308304	0,000261	0,000299	1,15	0,20	0,405814522
sp|Q9BV57|MTND_HUMAN	Q9BV57	ADI1	179	4	4	4	6	3	5	12	14	6,36239E-05	5,91496E-05	6,24113E-05	9,43348E-05	5,01688E-05	6,71007E-05	0,000062	0,000071	1,14	0,19	0,613401257
sp|P55263|ADK_HUMAN	P55263	ADK	362	87	91	112	66	76	71	290	213	0,000684265	0,000665393	0,000864104	0,000513109	0,000628449	0,00047115	0,000738	0,000538	0,73	-0,46	0,056083357
sp|Q9H2P0|ADNP_HUMAN	Q9H2P0	ADNP	1102	17	9	19	11	11	22	45	44	4,39219E-05	2,16175E-05	4,81536E-05	2,80922E-05	2,98797E-05	4,79569E-05	0,000038	0,000035	0,93	-0,10	0,895783931
sp|Q9BRR6|ADPGK_HUMAN	Q9BRR6	ADPGK	497	5	6	12	11	5	19	23	35	2,86436E-05	3,19551E-05	6,74344E-05	6,22888E-05	3,01147E-05	9,18348E-05	0,000043	0,000061	1,44	0,53	0,464258378
sp|Q9NX46|ARHL2_HUMAN	Q9NX46	ADPRHL2	363	12	8	12	5	8	5	32	18	9,41213E-05	5,83349E-05	9,23275E-05	3,87648E-05	6,59703E-05	3,30882E-05	0,000082	0,000046	0,56	-0,83	0,083998625
sp|Q16186|ADRM1_HUMAN	Q16186	ADRM1	407	11	12	11	12	9	15	34	36	7,69506E-05	7,80426E-05	7,5484E-05	8,29776E-05	6,61932E-05	8,85333E-05	0,000077	0,000079	1,03	0,04	0,804925786
sp|P30566|PUR8_HUMAN	P30566	ADSL	484	28	43	35	43	10	27	106	80	0,000164712	0,000235163	0,000201966	0,000250033	6,18472E-05	0,000134007	0,000201	0,000149	0,74	-0,43	0,348130776
sp|P30520|PURA2_HUMAN	P30520	ADSS	456	24	13	20	21	21	34	57	76	0,000149851	7,54612E-05	0,000122496	0,000129607	0,000137854	0,000179112	0,000116	0,000149	1,28	0,36	0,285199622
sp|Q8N4X5|AF1L2_HUMAN	Q8N4X5	AFAP1L2	818	27	24	22	5	12	11	73	28	9,39775E-05	7,7661E-05	7,51149E-05	1,72025E-05	4,3913E-05	3,23035E-05	0,000082	0,000031	0,38	-1,40	0,021853709
sp|Q9Y4W6|AFG32_HUMAN	Q9Y4W6	AFG3L2	797	9	12	11	9	13	14	32	36	3,21512E-05	3,98536E-05	3,8547E-05	3,17803E-05	4,88259E-05	4,21968E-05	0,000037	0,000041	1,11	0,15	0,54601285
sp|P52594|AGFG1_HUMAN	P52594	AGFG1	562	8	10	7	7	8	8	25	23	4,05291E-05	4,70987E-05	3,47871E-05	3,50538E-05	4,26107E-05	3,41951E-05	0,000041	0,000037	0,91	-0,13	0,477545595
sp|Q53H12|AGK_HUMAN	Q53H12	AGK	422	25	20	21	15	20	25	66	60	0,000168671	0,000125448	0,000138984	0,000100035	0,000141867	0,000142311	0,000144	0,000128	0,89	-0,17	0,438344832
sp|P35573|GDE_HUMAN	P35573	AGL	1532	13	9	13	8	4	7	35	19	2,41601E-05	1,55499E-05	2,36996E-05	1,46962E-05	7,81567E-06	1,09761E-05	0,000021	0,000011	0,53	-0,92	0,048567478
sp|Q9UKV8|AGO2_HUMAN	Q9UKV8	AGO2	859	4	8	4	5	7	5	16	17	1,32581E-05	2,46514E-05	1,30054E-05	1,63814E-05	2,43933E-05	1,39826E-05	0,000017	0,000018	1,08	0,10	0,750361463
sp|Q99943|PLCA_HUMAN	Q99943	AGPAT1	283	4	5	3	3	6	4	12	13	4,02427E-05	4,67658E-05	2,96068E-05	2,98338E-05	6,34644E-05	3,39534E-05	0,000039	0,000042	1,09	0,13	0,86798999
sp|O00116|ADAS_HUMAN	O00116	AGPS	658	27	27	31	25	12	50	85	87	0,000116829	0,000108613	0,000131581	0,000106927	5,45909E-05	0,000182538	0,000119	0,000115	0,96	-0,05	0,693816581
sp|O00468|AGRIN_HUMAN	O00468	AGRN	2067	28	22	24	20	33	41	74	94	3,85684E-05	2,81726E-05	3,24285E-05	2,7231E-05	4,77902E-05	4,76489E-05	0,000033	0,000041	1,24	0,31	0,41604699
sp|P23526|SAHH_HUMAN	P23526	AHCY	432	72	62	72	49	88	70	206	207	0,000474528	0,000379886	0,000465485	0,000319217	0,000609767	0,000389246	0,000440	0,000439	1,00	0,00	0,875728455
sp|O43865|SAHH2_HUMAN	O43865	AHCYL1	530	9	10	11	10	9	13	30	32	4,83482E-05	4,99424E-05	5,7966E-05	5,31004E-05	5,08314E-05	5,8922E-05	0,000052	0,000054	1,04	0,06	0,580906338
sp|Q96HN2|SAHH3_HUMAN	Q96HN2	AHCYL2	611	4	3	4	8	5	8	11	21	1,86394E-05	1,29965E-05	1,82842E-05	3,68487E-05	2,44959E-05	3,14528E-05	0,000017	0,000031	1,86	0,89	0,020633112
sp|Q09666|AHNK_HUMAN	Q09666	AHNAK	5890	184	183	180	165	363	270	547	798	8,89439E-05	8,22396E-05	8,5352E-05	7,88393E-05	0,000184483	0,000110118	0,000086	0,000124	1,46	0,54	0,27466009
sp|Q8IVF2|AHNK2_HUMAN	Q8IVF2	AHNAK2	5795	3	3	2	25	29	23	8	77	1,47395E-06	1,37029E-06	9,63902E-07	1,21412E-05	1,49799E-05	9,5342E-06	0,000001	0,000012	9,63	3,27	0,000256099
sp|O95433|AHSA1_HUMAN	O95433	AHSA1	338	26	25	38	19	18	26	89	63	0,000219013	0,00019578	0,000313995	0,000158202	0,000159412	0,000184785	0,000243	0,000167	0,69	-0,54	0,079468388
sp|P02765|FETUA_HUMAN	P02765	AHSG	367	7	12	6	11	15	5	25	31	5,43057E-05	8,65487E-05	4,56606E-05	8,4353E-05	0,000122346	3,27276E-05	0,000062	0,000080	1,28	0,36	0,746554004
sp|O95831|AIFM1_HUMAN	O95831	AIFM1	613	19	17	22	30	28	29	58	87	8,82484E-05	7,34063E-05	0,000100235	0,000137732	0,00013673	0,000113644	0,000087	0,000129	1,48	0,57	0,022566485
sp|Q12904|AIMP1_HUMAN	Q12904	AIMP1	312	23	23	23	21	32	32	69	85	0,000209888	0,000195127	0,000205887	0,000189426	0,000307016	0,00024638	0,000204	0,000248	1,22	0,28	0,279116905
sp|Q13155|AIMP2_HUMAN	Q13155	AIMP2	320	28	13	43	51	33	46	84	130	0,000249127	0,000107532	0,000375297	0,000448533	0,000308695	0,000345317	0,000244	0,000368	1,51	0,59	0,247486061
sp|O00170|AIP_HUMAN	O00170	AIP	330	13	21	17	18	14	36	51	68	0,000112161	0,000168442	0,000143877	0,000153509	0,000126993	0,000262059	0,000141	0,000181	1,28	0,35	0,442628153
sp|P00568|KAD1_HUMAN	P00568	AK1	194	23	26	18	26	24	27	67	77	0,000337551	0,000354745	0,000259136	0,000377177	0,000370318	0,000334327	0,000317	0,000361	1,14	0,19	0,262032012
sp|P54819|KAD2_HUMAN	P54819	AK2	239	38	36	35	29	33	40	109	102	0,000452688	0,000398703	0,000409003	0,000341487	0,000413315	0,000402042	0,000420	0,000386	0,92	-0,12	0,284837832
sp|Q9UIJ7|KAD3_HUMAN	Q9UIJ7	AK3	227	11	11	10	7	11	12	32	30	0,000137969	0,000128266	0,000123036	8,67853E-05	0,000145055	0,000126989	0,000130	0,000120	0,92	-0,12	0,548921974
sp|P27144|KAD4_HUMAN	P27144	AK4	223	7	5	12	2	12	7	24	21	8,93731E-05	5,93486E-05	0,000150291	2,52406E-05	0,00016108	7,54055E-05	0,000100	0,000087	0,88	-0,19	0,624389301
sp|Q9Y3D8|KAD6_HUMAN	Q9Y3D8	AK6	172	3	2	5	3	3	2	10	8	4,966E-05	3,07784E-05	8,11892E-05	4,9087E-05	5,22105E-05	2,79326E-05	0,000054	0,000043	0,80	-0,32	0,621770388
sp|Q9UKA4|AKA11_HUMAN	Q9UKA4	AKAP11	1901	4	12	9	13	3	13	25	29	5,99089E-06	1,67088E-05	1,32226E-05	1,92458E-05	4,72394E-06	1,64275E-05	0,000012	0,000013	1,12	0,17	0,944334954
sp|Q02952|AKA12_HUMAN	Q02952	AKAP12	1782	51	63	56	37	68	40	170	145	8,14847E-05	9,35789E-05	8,77681E-05	5,84343E-05	0,000114226	5,39215E-05	0,000088	0,000076	0,86	-0,21	0,439793449
sp|Q12802|AKP13_HUMAN	Q12802	AKAP13	2813	3	10	9	7	3	13	22	23	3,03644E-06	9,40969E-06	8,93571E-06	7,00329E-06	3,1924E-06	1,11015E-05	0,000007	0,000007	1,00	-0,01	0,986368198
sp|Q9Y2D5|AKAP2_HUMAN	Q9Y2D5	AKAP2	859	10	13	16	18	35	23	39	76	3,31452E-05	4,00586E-05	5,20216E-05	5,8973E-05	0,000121966	6,43198E-05	0,000042	0,000082	1,96	0,97	0,074089559
sp|O43823|AKAP8_HUMAN	O43823	AKAP8	692	6	7	5	4	9	10	18	23	2,46865E-05	2,67755E-05	2,018E-05	1,62678E-05	3,89315E-05	3,47139E-05	0,000024	0,000030	1,26	0,33	0,592027379
