pathway_name	action	Source	Effect	Target	Source_UniprotID
NOD-like receptor signaling pathway	change_effect	NFKB1	expression	IL6	NA
NOD-like receptor signaling pathway	change_effect	NFKB1	expression	CAMP	NA
NOD-like receptor signaling pathway	change_effect	NFKB1	expression	CCL5	NA
NOD-like receptor signaling pathway	change_effect	NFKB1	expression	IL1B	NA
NOD-like receptor signaling pathway	change_effect	NFKB1	expression	IL18	NA
NOD-like receptor signaling pathway	change_effect	NFKB1	expression	TNF	NA
NOD-like receptor signaling pathway	change_effect	NFKB1	expression	CCL2	NA
NOD-like receptor signaling pathway	change_effect	NFKB1	expression	NLRP3	NA
NOD-like receptor signaling pathway	change_effect	IRAK4	activation	TRAF6	NA
NOD-like receptor signaling pathway	remove_interaction	PYCARD	activation	CASP1	NA
NOD-like receptor signaling pathway	remove_interaction	IRF9	binding/association	STAT1	NA
NOD-like receptor signaling pathway	add_interaction	STAT1	binding/association	IRF9	NA
NOD-like receptor signaling pathway	remove_node	GSDMD	NA	NA	NA
NOD-like receptor signaling pathway	remove_node	IL1B	NA	NA	NA
NOD-like receptor signaling pathway	remove_node	IL18	NA	NA	NA
NOD-like receptor signaling pathway	add_node	PLCB3	NA	NA	NA
NOD-like receptor signaling pathway	add_interaction	PLCB3	compound - 16	ITPR1	NA
NOD-like receptor signaling pathway	add_interaction	GPRC6A	activation	PLCB3	NA
NOD-like receptor signaling pathway	change_effect	BIRC2	ubiquitination	RIPK2	NA
NOD-like receptor signaling pathway	change_effect	TNFAIP3	inhibition	RIPK2	NA
NOD-like receptor signaling pathway	change_effect	XIAP	ubiquitination	RIPK2	NA
NOD-like receptor signaling pathway	change_effect	TRAF2	ubiquitination	RIPK2	NA
NOD-like receptor signaling pathway	change_effect	RBCK1	ubiquitination	RIPK2	NA
