Symbol	C-type lectin receptor signaling pathway	Cytokine-cytokine receptor interaction	Cytosolic DNA-sensing pathway	Estrogen signaling pathway	IL-17 signaling pathway	NF-kappa B signaling pathway	NOD-like receptor signaling pathway	Osteoclast differentiation	Regulation of actin cytoskeleton	RIG-I-like receptor signaling pathway	T cell receptor signaling pathway	Th17 cell differentiation	TNF signaling pathway	Toll-like receptor signaling pathway	Viral protein interaction with cytokine and cytokine receptor	sum	pathway	CFTR_interactor	dorothea_tf	receptor_ligand	receptor
CLEC1B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	C-type lectin receptor signaling pathway	NA	FALSE	FALSE	FALSE
CLEC4D	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	C-type lectin receptor signaling pathway	NA	FALSE	FALSE	FALSE
CLEC4E	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	C-type lectin receptor signaling pathway	NA	FALSE	FALSE	FALSE
CLEC4M	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	C-type lectin receptor signaling pathway	NA	FALSE	FALSE	FALSE
CLEC6A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	C-type lectin receptor signaling pathway	NA	FALSE	FALSE	FALSE
CLEC7A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	C-type lectin receptor signaling pathway	NA	FALSE	FALSE	TRUE
CREB1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	Osteoclast differentiation	NA	TRUE	FALSE	FALSE
CREB3	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	NA	NA	TRUE	FALSE	FALSE
CSF1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	3	NA	NA	FALSE	FALSE	FALSE
CSF1R	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	3	NA	NA	FALSE	FALSE	FALSE
CSNK2A1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	NF-kappa B signaling pathway	TRUE	FALSE	FALSE	FALSE
CTLA4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	NA	FALSE	FALSE	FALSE
CTSB	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
CXCL12	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	3	NA	NA	FALSE	TRUE	FALSE
CXCR4	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	NA	NA	FALSE	FALSE	TRUE
CYBA	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE
CYBB	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
CYLD	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	4	NA	NA	FALSE	FALSE	FALSE
DAB2IP	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	TNF signaling pathway	NA	FALSE	FALSE	FALSE
DDX3X	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	RIG-I-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
DHX33	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
DHX58	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	RIG-I-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
DIAPH1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE
DIAPH3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE
DLG1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	NA	FALSE	FALSE	FALSE
DNM1L	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	NA	NA	FALSE	FALSE	FALSE
DOCK1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE
EDA	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	NA	NA	FALSE	TRUE	FALSE
EDA2R	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	NA	NA	FALSE	FALSE	TRUE
EDAR	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	NA	NA	FALSE	FALSE	TRUE
EDARADD	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	NF-kappa B signaling pathway	NA	FALSE	FALSE	FALSE
EGF	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE
EGFR	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	NA	NA	FALSE	FALSE	TRUE
ENAH	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE
ERBIN	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
ESR1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	NA	TRUE	FALSE	FALSE
ESR2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	NA	TRUE	FALSE	FALSE
EZR	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	FALSE	FALSE	FALSE	FALSE
F2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	TRUE	FALSE
F2R	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	TRUE
FADD	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	4	NA	NA	FALSE	FALSE	FALSE
FCER1G	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	C-type lectin receptor signaling pathway	NA	FALSE	FALSE	TRUE
FCGR1A	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	Osteoclast differentiation	NA	FALSE	FALSE	TRUE
FGD1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE
FHL2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	Osteoclast differentiation	NA	FALSE	FALSE	FALSE
FN1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	TRUE	FALSE
FOS	0	0	0	1	1	0	0	1	0	0	1	1	1	1	0	7	NA	NA	TRUE	FALSE	FALSE
FYN	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE
GAB2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	Osteoclast differentiation	NA	FALSE	FALSE	FALSE
GABARAP	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
GABBR1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	NA	FALSE	FALSE	TRUE
GIT1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE
GNA13	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE
GNAI1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	NA	FALSE	FALSE	FALSE
GNAQ	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	NA	FALSE	FALSE	FALSE
GNAS	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	NA	FALSE	FALSE	FALSE
GNG12	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE
GPER1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	NA	FALSE	FALSE	TRUE
GPR26	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	TRUE
GPRC6A	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	TRUE
GRAP2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	NA	FALSE	FALSE	FALSE
GRB2	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	3	NA	NA	FALSE	FALSE	FALSE
GRM1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	NA	FALSE	FALSE	TRUE
GSK3B	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE
GSN	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE
HBEGF	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	NA	FALSE	FALSE	FALSE
HRAS	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE
HSP90AA1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE
ICOS	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	NA	FALSE	FALSE	FALSE
IFI16	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
IFIH1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	RIG-I-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
IFNA1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	4	NA	NA	FALSE	TRUE	FALSE
IFNAR1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	3	NA	NA	FALSE	FALSE	TRUE
IFNB1	0	0	1	0	0	0	0	1	0	1	0	0	1	1	0	5	NA	NA	FALSE	TRUE	FALSE
IFNG	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	4	NA	NA	FALSE	TRUE	FALSE
IFNGR1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	NA	NA	FALSE	FALSE	TRUE
IKBKB	1	0	0	0	0	1	0	1	0	1	1	0	1	1	0	7	NA	NA	FALSE	FALSE	FALSE
IKBKE	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	5	NA	NA	FALSE	FALSE	FALSE
IKBKG	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	5	NA	NA	FALSE	FALSE	FALSE
IL16	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Cytokine-cytokine receptor interaction	NA	FALSE	TRUE	FALSE
IL17A	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	NA	NA	FALSE	TRUE	FALSE
IL17RA	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	IL-17 signaling pathway	NA	FALSE	FALSE	TRUE
IL1A	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	NA	NA	FALSE	TRUE	FALSE
IL1B	0	1	0	0	1	1	0	0	0	0	0	1	0	1	0	5	NA	NA	FALSE	TRUE	FALSE
IL1R1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	3	NA	NA	FALSE	FALSE	TRUE
IL2	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	NA	NA	FALSE	TRUE	FALSE
IL21	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	Th17 cell differentiation	NA	FALSE	TRUE	FALSE
IL27	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	Th17 cell differentiation	NA	FALSE	TRUE	FALSE
IL27RA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	Th17 cell differentiation	NA	FALSE	FALSE	TRUE
IL2RA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	Th17 cell differentiation	NA	FALSE	FALSE	TRUE
IL2RG	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	Th17 cell differentiation	NA	FALSE	FALSE	TRUE
IL34	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	NA	NA	FALSE	TRUE	FALSE
IL4	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	4	NA	NA	FALSE	TRUE	FALSE
IL6	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	5	NA	NA	FALSE	TRUE	FALSE
IL6R	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	NA	NA	FALSE	FALSE	TRUE
INS	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE
IQGAP1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE
IRAK1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	NA	NA	FALSE	FALSE	FALSE
IRAK4	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	3	NA	NA	FALSE	FALSE	FALSE
IRF1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	NA	NA	TRUE	FALSE	FALSE
IRF3	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	4	NA	NA	TRUE	FALSE	FALSE
IRF5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	Toll-like receptor signaling pathway	NA	TRUE	FALSE	FALSE
IRF7	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	3	NA	NA	TRUE	FALSE	FALSE
IRF9	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	3	NA	NA	TRUE	FALSE	FALSE
IRS1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	Osteoclast differentiation	NA	FALSE	FALSE	FALSE
ISG15	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	RIG-I-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
ITCH	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	TNF signaling pathway	NA	FALSE	FALSE	FALSE
ITGA11	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE
ITK	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	NA	FALSE	FALSE	FALSE
ITPR1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3	NA	NA	FALSE	FALSE	TRUE
JAK1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE
JUN	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	4	NA	NA	TRUE	FALSE	FALSE
KCNJ3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	NA	FALSE	FALSE	FALSE
KNG1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE
KRAS	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Estrogen signaling pathway	NA	FALSE	FALSE	FALSE
KSR1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	C-type lectin receptor signaling pathway	NA	FALSE	FALSE	FALSE
LAP3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	NA	NA	FALSE	FALSE	FALSE
LAT	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	3	NA	NA	FALSE	FALSE	FALSE
LCK	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	NA	NA	FALSE	FALSE	FALSE
LCP2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	T cell receptor signaling pathway	NA	FALSE	FALSE	FALSE
LIMK1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE
LPAR1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	TRUE
LSP1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	C-type lectin receptor signaling pathway	NA	FALSE	FALSE	FALSE
LTA	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	3	NA	NA	FALSE	TRUE	FALSE
LY96	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	Toll-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
MALT1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	3	NA	NA	FALSE	FALSE	FALSE
MAP2K1	0	0	0	1	0	0	0	1	1	0	1	0	1	1	0	6	NA	NA	FALSE	FALSE	FALSE
MAP2K3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	NA	NA	FALSE	FALSE	FALSE
MAP2K6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	Osteoclast differentiation	NA	FALSE	FALSE	FALSE
MAP2K7	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	4	NA	NA	FALSE	FALSE	FALSE
MAP3K14	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	5	NA	NA	FALSE	FALSE	FALSE
MAP3K5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	TNF signaling pathway	NA	FALSE	FALSE	FALSE
MAP3K7	0	0	0	0	0	1	1	1	0	1	1	0	1	1	0	7	NA	NA	FALSE	FALSE	FALSE
MAP3K8	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	3	NA	NA	FALSE	FALSE	FALSE
MAPK1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	0	10	NA	NA	FALSE	FALSE	FALSE
MAPK14	1	0	0	0	1	0	1	1	0	1	1	1	1	1	0	9	NA	NA	FALSE	FALSE	FALSE
MAPK8	1	0	0	0	0	0	1	1	0	1	1	1	1	1	0	8	NA	NA	FALSE	FALSE	FALSE
MAPKAPK2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	C-type lectin receptor signaling pathway	NA	FALSE	FALSE	FALSE
MAVS	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	3	NA	NA	FALSE	FALSE	FALSE
MDM2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	C-type lectin receptor signaling pathway	NA	FALSE	FALSE	FALSE
MEFV	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
MFN1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
MLKL	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	TNF signaling pathway	NA	FALSE	FALSE	FALSE
MYD88	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	NA	NA	FALSE	FALSE	FALSE
MYH9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE
MYL12B	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE
MYLK4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton	NA	FALSE	FALSE	FALSE
NAIP	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	NOD-like receptor signaling pathway	NA	FALSE	FALSE	FALSE
